id_artista,nome,tipo
3nFkdlSjzX9mRTtwJOzDYB,JAŸ-Z,artist
5ClhQPdU6C5kY1kgK1ZQdm,Gloria Carter,artist
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,artist
6vWDO969PvNqNYHIOW5v0m,Beyoncé,artist
3QJzdZJYIAcoET1GcfpNGi,Damian Marley,artist
