id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
3pTiM9SFs9fMCTgDHBJtMH,5NbxMZtxb56xrqXY4ks4CB,1,MPBOY,137168,track
2WenrxqY8sfLCb47fPilB3,5NbxMZtxb56xrqXY4ks4CB,2,BOMBA PATCH,126658,track
2wfJypAXWWZT3v9f3bfCCc,5NbxMZtxb56xrqXY4ks4CB,3,JULIA,129625,track
6cU7wYGJEWBSAU2KUyEUQt,5NbxMZtxb56xrqXY4ks4CB,4,COCOROCO,164052,track
4yAfWP0WD48LrXHb7ATGyq,5NbxMZtxb56xrqXY4ks4CB,5,EU QUERO VER ME PAGAR BEM,182451,track
1Nci4CyOxC60ldYwPjTk1R,5NbxMZtxb56xrqXY4ks4CB,6,COISAS,110134,track
01gWoawcGNNdAZ4WhSAb59,5NbxMZtxb56xrqXY4ks4CB,7,GASTARÁ,134610,track
5eNqPF16ho6qTCz1wtRK6o,5NbxMZtxb56xrqXY4ks4CB,8,NEM TÃO ETERNO,90764,track
