id_faixa,id_album,numero_faixa,nome,duracao_ms,tipo
6U5OjUfX40iqzQFePBzsMf,3J8RIRU9w0bEvwHiyoykri,1,Pra Nós Cantar,202500,track
0kq55gHttfo85qrFJcOWz0,3J8RIRU9w0bEvwHiyoykri,2,Ladrão de Sonhos,304936,track
3bQl874F4x3ALTj14wKi9u,3J8RIRU9w0bEvwHiyoykri,3,Trago pra City,253397,track
4Nvkmitj7GojJt2kZrD5io,3J8RIRU9w0bEvwHiyoykri,4,Pais e Filhos,283043,track
7BYISW1ZM7iElOCwfMwAUL,3J8RIRU9w0bEvwHiyoykri,5,Ventriloucos,269011,track
6VjjZlcj19XzlpjPsiq9B3,3J8RIRU9w0bEvwHiyoykri,6,Vidente,218459,track
3raEeVKX7FYQP8de3kzkIo,3J8RIRU9w0bEvwHiyoykri,7,A Parte Escura da Lua,228522,track
6Iuf75DMAIKKlEGSUxKIBD,3J8RIRU9w0bEvwHiyoykri,8,1 Bob Marley Vs 30 Caretas,194176,track
2Ee2oqXhsPByvph57dZBcy,3J8RIRU9w0bEvwHiyoykri,9,Dejavu II,158533,track
